fname,summary
test_0,#Person1#은 Ms. Dawson에게 모든 직원들에게 즉시 메시지 프로그램 사용 금지를 포함한 사내 메모를 작성하고 배포해 달라고 요청합니다.
test_1,"#Person1#은 #Person2#에게 대중교통을 이용하거나 자전거로 출퇴근할 것을 제안합니다. #Person2#는 차가 줄 수 있는 자유를 그리워하지만, #Person1#의 제안을 수용하기로 합니다."
test_2,"#Person1#은 #Person2#에게 Masha와 Hero가 이혼했고, Masha가 양육권을 가지기로 했다고 말합니다. #Person2#는 이 소식에 놀랍니다."
test_3,#Person1#은 Brian의 생일을 축하하며 그에게 선물을 줍니다. 그들은 춤을 추고 서로에게 칭찬을 합니다.
test_4,"#Person2#는 #Person1#에게 올림픽 스타디움이 6월에 완공될 예정이며, 총 5000석이 있다고 설명합니다."
test_5,"#Person1#은 #Person2#에게 사업 계획서를 작성하고 투자자를 모아 자신의 사업을 시작할 계획이라고 말합니다. #Person2#는 #Person1#에게 사업 계획서 작성 방법을 설명하지만, #Person1#은 그 과정이 너무 복잡하다고 느껴 기존 직장에서 일하는 것을 계속하기로 결정합니다."
test_6,#Person2#는 간지러움을 느끼고 있다. #Person1#은 #Person2#가 수두에 걸린 것 같다고 생각한다. #Person2#는 그것이 단순한 발진이나 알레르기일 수도 있다고 생각한다.
test_7,#Person2#는 청구서에서 자신이 사용하지 않은 세탁 서비스 요금이 추가된 것을 발견합니다. #Person1#은 사과하고 청구서를 수정합니다.
test_8,"#Person1#은 스티븐에게 아내가 비서와 바람피운 사실을 알게 되었고, 아내가 이혼을 원한다고 말합니다. 스티븐은 #Person1#에게 아내를 설득하려고 노력할 것이라고 약속합니다."
test_9,#Person2#는 #Person1#에게 아브라함 링컨을 가장 훌륭한 인품을 가진 사람으로 생각한다고 말한다.
test_10,"#Person2#는 허베이로 여행을 계획 중이지만, #Person1#은 허베이에서 심한 황사가 발생할 수 있다고 경고합니다."
test_11,#Person2#가 Francis의 생일 파티에 참석하여 선물로 원격 조종 자동차 모델을 주었습니다. Francis는 그 선물을 매우 좋아합니다.
test_12,"Tony는 부정행위로 인해 불합격되었고, Steven은 그에게 실수에서 배우라고 조언한다."
test_13,"#Person1#은 9시 30분 기차를 타야 해서 서두르고 있지만, #Person2#는 시간이 충분하다고 생각합니다."
test_14,#Person1#은 #Person2#에게 삶을 어떻게 조정해야 할지 묻습니다. #Person2#는 #Person1#에게 충분한 수면을 취하고 운동을 하며 미래에 대해 걱정하지 말라고 조언합니다.
test_15,"#Person1#과 #Person2#는 Ruojia의 결혼 파티에 참석할 예정이다. #Person1#은 Ruojia의 트위터를 통해 소식을 알게 되었고, #Person2#는 이메일을 통해 알게 되었다."
test_16,"#Person1#과 #Person2#는 스트립 게임을 하고 있으며, #Person2#는 그 게임이 잔인하다고 생각합니다."
test_17,"#Person1#은 마이크에게 그의 여동생에 대해 묻고, 마이크는 그녀가 자신과 닮았다고 말한다."
test_18,#Person2#는 #Person1#의 체온을 측정하고 약간의 열이 있음을 확인합니다.
test_19,"#Person2#는 새 휴대폰을 구매하려고 하며, #Person1#은 카메라, MP3 플레이어, 영상 통화 기능이 있는 모델을 추천합니다."
test_20,프랭크는 주디에게 우체국에서 일하게 된 이유와 그 직장의 장점을 설명한다.
test_21,"#Person2#는 #Person1#에게 컴퓨터 프로그래밍, 비서 업무, 의사 및 운전 면허증 소지, 케임브리지 영어 시험 합격, 다양한 사무 기술 훈련 및 경력에 대해 설명합니다."
